,full_address,lat,lon
124,103 Spottiswoode Pk Rd,1.2747341,103.8353025
125,103 Tampines St 11,1.3476411,103.94619
126,103 Teck Whye Lane,1.3771851,103.7535092
127,103 Towner Rd,1.3206725,103.8615925
128,103 Woodlands St 13,1.4366008,103.7810126
129,103 Yishun Ring Rd,1.4319016,103.8289483
130,103A Depot Rd,1.2809284,103.8130871
131,103A Edgefield Plains,1.3982917,103.904838
132,103B Depot Rd,1.2808119,103.8130737
133,103B Edgefield Plains,1.3978525,103.9047474
134,103C Edgefield Plains,1.3974138,103.9045661
135,104 Aljunied Cres,1.3200997,103.88277
136,104 Bedok Nth Ave 4,1.3332562,103.936605
137,104 Bedok Reservoir Rd,1.3292763,103.9098223
138,104 Bishan St 12,1.345674,103.848026
139,104 Bt Batok Ctrl,1.348997,103.7472936
140,104 Bt Purmei Rd,1.2724898,103.8257478
141,104 Clementi St 14,1.3229784,103.7692429
142,104 Gangsa Rd,1.378851,103.767855
143,104 Henderson Cres,1.2894146,103.8214223
144,104 Hougang Ave 1,1.354793,103.890305
145,104 Jln Dusun,1.3285514,103.8446805
146,104 Jln Rajah,1.327917,103.8532832
147,104 Jurong East St 13,1.3366371,103.7376509
148,104 Lengkong Tiga,1.3259105,103.9098223
149,104 Pasir Ris St 12,1.3678583,103.9588599
150,104 Potong Pasir Ave 1,1.3343451,103.8692235
151,104 Rivervale Walk,1.382713,103.900848
152,104 Serangoon Nth Ave 1,1.3705717,103.8710439
153,104 Spottiswoode Pk Rd,1.2744804,103.8348949
154,104 Tampines St 11,1.3472491,103.9465762
155,104 Teck Whye Lane,1.3770603,103.752948
156,104 Towner Rd,1.3198388,103.8608698
157,104 Whampoa Dr,1.3209644,103.8533738
158,104 Woodlands St 13,1.4364506,103.7815558
159,104A Ang Mo Kio St 11,1.3714733,103.8391162
160,104A Depot Rd,1.2804498,103.8124403
161,104A Edgefield Plains,1.396871,103.905393
162,104B Ang Mo Kio St 11,1.371487,103.8383977
163,104B Depot Rd,1.280525,103.8120779
164,104B Edgefield Plains,1.396493,103.905416
165,105 Aljunied Cres,1.3195167,103.8827712
166,105 Ang Mo Kio Ave 4,1.3723838,103.8377028
167,105 Bedok Nth Ave 4,1.3336952,103.936605
168,105 Bedok Reservoir Rd,1.3291336,103.909188
169,105 Bishan St 12,1.3458125,103.8473951
170,105 Bt Batok Ctrl,1.3485949,103.7471578
171,105 Bt Purmei Rd,1.2725678,103.8248421
172,105 Clementi St 12,1.322682,103.7698766
173,105 Gangsa Rd,1.3782744,103.7677264
174,105 Henderson Cres,1.2901396,103.8225544
175,105 Jln Rajah,1.3286387,103.8540088
176,105 Jurong East St 13,1.3372922,103.7383752
177,105 Lengkong Tiga,1.3256163,103.9100942
178,105 Pasir Ris St 12,1.368527,103.9572281
179,105 Potong Pasir Ave 1,1.3344885,103.8687748
180,105 Rivervale Walk,1.3821683,103.9007038
181,105 Serangoon Nth Ave 1,1.3702143,103.8701338
182,105 Simei St 1,1.3411909,103.9505387
183,105 Tampines St 11,1.3480158,103.9468935
184,105 Teck Whye Lane,1.3776457,103.753129
185,105 Towner Rd,1.3205548,103.8610741
186,105 Woodlands St 13,1.436891,103.7815558
187,105A Edgefield Plains,1.3971031,103.9058262
188,105B Edgefield Plains,1.397269,103.906206
189,105C Edgefield Plains,1.397623,103.905595
190,105D Edgefield Plains,1.397401,103.905293
191,106 Aljunied Cres,1.319113,103.8829083
192,106 Ang Mo Kio Ave 4,1.3720185,103.8375217
193,106 Bedok Nth Ave 4,1.334388,103.9370129
194,106 Bedok Reservoir Rd,1.3294979,103.9094598
195,106 Bishan St 12,1.3461032,103.8477574
196,106 Bt Batok Ctrl,1.3481564,103.7469767
197,106 Bt Purmei Rd,1.2730751,103.8256575
198,106 Gangsa Rd,1.3779831,103.7674096
199,106 Henderson Cres,1.2896292,103.8222827
200,106 Hougang Ave 1,1.35398,103.8908827
201,106 Jln Dusun,1.3285517,103.8446775
202,106 Jln Rajah,1.3285642,103.854732
203,106 Jurong East St 13,1.3372962,103.7376511
204,106 Lengkong Tiga,1.3251052,103.909913
205,106 Pasir Ris St 12,1.3679374,103.9578627
206,106 Potong Pasir Ave 1,1.3341951,103.8680431
207,106 Rivervale Walk,1.382547,103.9003079
208,106 Serangoon Nth Ave 1,1.370187,103.8710665
209,106 Simei St 1,1.3418627,103.9509502
210,106 Spottiswoode Pk Rd,1.2736078,103.8340797
211,106 Tampines St 11,1.3475719,103.9477094
212,106 Teck Whye Lane,1.3779405,103.7528575
213,106 Towner Rd,1.3210859,103.8609608
214,106 Woodlands St 13,1.4367398,103.7822802
215,106 Yishun Ring Rd,1.431509,103.827332
216,106A Depot Rd,1.2806767,103.8110816
217,106A Punggol Field,1.3966937,103.9085083
218,106B Depot Rd,1.2806786,103.8107192
219,106B Punggol Field,1.3972472,103.9078606
220,106C Punggol Field,1.397392,103.9075484
221,106D Punggol Field,1.3976201,103.9072656
222,107 Aljunied Cres,1.3189217,103.8842226
223,107 Ang Mo Kio Ave 4,1.371434,103.8372499
224,107 Bedok Nth Rd,1.3324161,103.9363784
225,107 Bedok Reservoir Rd,1.3298653,103.909188
226,107 Bishan St 12,1.3463946,103.8480291
227,107 Bt Batok West Ave 6,1.3477922,103.7466146
228,107 Bt Purmei Rd,1.2732267,103.8246613
229,107 Gangsa Rd,1.3782249,103.7667985
230,107 Jln Bt Merah,1.2799457,103.8247507
231,107 Jln Rajah,1.3279799,103.855095
232,107 Jurong East St 13,1.3377342,103.7379228
233,107 Lor 1 Toa Payoh,1.3412736,103.8473045
234,107 Pasir Ris St 12,1.3677199,103.9575001
235,107 Potong Pasir Ave 1,1.3346386,103.8684039
236,107 Rivervale Walk,1.3830761,103.9003069
237,107 Serangoon Nth Ave 1,1.3698481,103.8701338
238,107 Simei St 1,1.3423571,103.9508822
239,107 Tampines St 11,1.3483749,103.948072
